"date","count","package"
2013-10-05,0,"alm"
2013-10-06,0,"alm"
2013-10-07,1,"alm"
2013-10-08,16,"alm"
2013-10-09,10,"alm"
2013-10-10,4,"alm"
2013-10-11,12,"alm"
2013-10-12,8,"alm"
2013-10-13,7,"alm"
2013-10-14,6,"alm"
2013-10-15,10,"alm"
2013-10-16,6,"alm"
2013-10-17,10,"alm"
2013-10-18,15,"alm"
2013-10-19,8,"alm"
2013-10-20,10,"alm"
2013-10-21,11,"alm"
2013-10-22,16,"alm"
2013-10-23,8,"alm"
2013-10-24,5,"alm"
2013-10-25,3,"alm"
2013-10-26,5,"alm"
2013-10-27,9,"alm"
2013-10-28,6,"alm"
2013-10-29,5,"alm"
2013-10-30,4,"alm"
2013-10-31,5,"alm"
2013-11-01,5,"alm"
2013-11-02,3,"alm"
2013-11-03,2,"alm"
2013-11-04,12,"alm"
2013-11-05,13,"alm"
2013-11-06,12,"alm"
2013-11-07,10,"alm"
2013-11-08,8,"alm"
2013-11-09,6,"alm"
2013-11-10,12,"alm"
2013-11-11,4,"alm"
2013-11-12,3,"alm"
2013-11-13,11,"alm"
2013-11-14,12,"alm"
2013-11-15,4,"alm"
2013-11-16,3,"alm"
2013-11-17,6,"alm"
2013-11-18,10,"alm"
2013-11-19,10,"alm"
2013-11-20,8,"alm"
2013-11-21,3,"alm"
2013-11-22,6,"alm"
2013-11-23,3,"alm"
2013-11-24,11,"alm"
2013-11-25,6,"alm"
2013-11-26,4,"alm"
2013-11-27,13,"alm"
2013-11-28,3,"alm"
2013-11-29,4,"alm"
2013-11-30,5,"alm"
2013-12-01,6,"alm"
2013-12-02,8,"alm"
2013-12-03,8,"alm"
2013-12-04,16,"alm"
2013-12-05,7,"alm"
2013-12-06,2,"alm"
2013-12-07,10,"alm"
2013-12-08,3,"alm"
2013-12-09,8,"alm"
2013-12-10,7,"alm"
2013-12-11,8,"alm"
2013-12-12,2,"alm"
2013-12-13,12,"alm"
2013-12-14,8,"alm"
2013-12-15,4,"alm"
2013-12-16,6,"alm"
2013-12-17,8,"alm"
2013-12-18,2,"alm"
2013-12-19,5,"alm"
2013-12-20,8,"alm"
2013-12-21,5,"alm"
2013-12-22,3,"alm"
2013-12-23,5,"alm"
2013-12-24,1,"alm"
2013-12-25,3,"alm"
2013-12-26,5,"alm"
2013-12-27,2,"alm"
2013-12-28,5,"alm"
2013-12-29,9,"alm"
2013-12-30,0,"alm"
2013-12-31,4,"alm"
2014-01-01,0,"alm"
2014-01-02,2,"alm"
2014-01-03,5,"alm"
2014-01-04,2,"alm"
2014-01-05,5,"alm"
2014-01-06,5,"alm"
2014-01-07,7,"alm"
2014-01-08,8,"alm"
2014-01-09,37,"alm"
2014-01-10,23,"alm"
2014-01-11,6,"alm"
2014-01-12,5,"alm"
2014-01-13,6,"alm"
2014-01-14,33,"alm"
2014-01-15,16,"alm"
2014-01-16,12,"alm"
2014-01-17,1,"alm"
2014-01-18,5,"alm"
2014-01-19,2,"alm"
2014-01-20,6,"alm"
2014-01-21,7,"alm"
2014-01-22,4,"alm"
2014-01-23,7,"alm"
2014-01-24,3,"alm"
2014-01-25,5,"alm"
2014-01-26,3,"alm"
2014-01-27,6,"alm"
2014-01-28,7,"alm"
2014-01-29,4,"alm"
2014-01-30,7,"alm"
2014-01-31,2,"alm"
2014-02-01,6,"alm"
2014-02-02,6,"alm"
2014-02-03,10,"alm"
2014-02-04,12,"alm"
2014-02-05,3,"alm"
2014-02-06,6,"alm"
2014-02-07,9,"alm"
2014-02-08,6,"alm"
2014-02-09,8,"alm"
2014-02-10,3,"alm"
2014-02-11,9,"alm"
2014-02-12,4,"alm"
2014-02-13,8,"alm"
2014-02-14,39,"alm"
2014-02-15,4,"alm"
2014-02-16,6,"alm"
2014-02-17,7,"alm"
2014-02-18,4,"alm"
2014-02-19,5,"alm"
2014-02-20,10,"alm"
2014-02-21,9,"alm"
2014-02-22,7,"alm"
2014-02-23,6,"alm"
2014-02-24,6,"alm"
2014-02-25,12,"alm"
2014-02-26,17,"alm"
2014-02-27,10,"alm"
2014-02-28,4,"alm"
2014-03-01,5,"alm"
2014-03-02,4,"alm"
2014-03-03,5,"alm"
2014-03-04,18,"alm"
2014-03-05,8,"alm"
2014-03-06,10,"alm"
2014-03-07,12,"alm"
2014-03-08,7,"alm"
2014-03-09,3,"alm"
2014-03-10,17,"alm"
2014-03-11,15,"alm"
2014-03-12,6,"alm"
2014-03-13,6,"alm"
2014-03-14,2,"alm"
2014-03-15,8,"alm"
2014-03-16,2,"alm"
2014-03-17,7,"alm"
2014-03-18,8,"alm"
2014-03-19,4,"alm"
2014-03-20,10,"alm"
2014-03-21,11,"alm"
2014-03-22,8,"alm"
2014-03-23,1,"alm"
2014-03-24,7,"alm"
2014-03-25,30,"alm"
2014-03-26,9,"alm"
2014-03-27,8,"alm"
2014-03-28,8,"alm"
2014-03-29,3,"alm"
2014-03-30,14,"alm"
2014-03-31,3,"alm"
2014-04-01,13,"alm"
2014-04-02,4,"alm"
2014-04-03,1,"alm"
2014-04-04,9,"alm"
2014-04-05,12,"alm"
2014-04-06,12,"alm"
2014-04-07,23,"alm"
2014-04-08,30,"alm"
2014-04-09,33,"alm"
2014-04-10,21,"alm"
2014-04-11,18,"alm"
2014-04-12,20,"alm"
2014-04-13,15,"alm"
2014-04-14,21,"alm"
