"date","count","package"
2014-04-15,18,"alm"
2014-04-16,10,"alm"
2014-04-17,10,"alm"
2014-04-18,15,"alm"
2014-04-19,11,"alm"
2014-04-20,14,"alm"
2014-04-21,17,"alm"
2014-04-22,11,"alm"
2014-04-23,29,"alm"
2014-04-24,29,"alm"
2014-04-25,18,"alm"
2014-04-26,16,"alm"
2014-04-27,41,"alm"
2014-04-28,16,"alm"
2014-04-29,12,"alm"
2014-04-30,13,"alm"
2014-05-01,11,"alm"
2014-05-02,8,"alm"
2014-05-03,9,"alm"
2014-05-04,4,"alm"
2014-05-05,10,"alm"
2014-05-06,17,"alm"
2014-05-07,12,"alm"
2014-05-08,9,"alm"
2014-05-09,10,"alm"
2014-05-10,5,"alm"
2014-05-11,4,"alm"
2014-05-12,7,"alm"
2014-05-13,11,"alm"
2014-05-14,9,"alm"
2014-05-15,11,"alm"
2014-05-16,1,"alm"
2014-05-17,1,"alm"
2014-05-18,2,"alm"
2014-05-19,13,"alm"
2014-05-20,7,"alm"
2014-05-21,5,"alm"
2014-05-22,20,"alm"
2014-05-23,14,"alm"
2014-05-24,1,"alm"
2014-05-25,6,"alm"
2014-05-26,3,"alm"
2014-05-27,10,"alm"
2014-05-28,8,"alm"
2014-05-29,14,"alm"
2014-05-30,12,"alm"
2014-05-31,25,"alm"
2014-06-01,4,"alm"
2014-06-02,14,"alm"
2014-06-03,9,"alm"
2014-06-04,9,"alm"
2014-06-05,10,"alm"
2014-06-06,6,"alm"
2014-06-07,6,"alm"
2014-06-08,7,"alm"
2014-06-09,10,"alm"
2014-06-10,8,"alm"
2014-06-11,9,"alm"
2014-06-12,18,"alm"
2014-06-13,25,"alm"
2014-06-14,12,"alm"
2014-06-15,14,"alm"
2014-06-16,16,"alm"
2014-06-17,18,"alm"
2014-06-18,20,"alm"
2014-06-19,19,"alm"
2014-06-20,30,"alm"
2014-06-21,12,"alm"
2014-06-22,9,"alm"
2014-06-23,20,"alm"
2014-06-24,11,"alm"
2014-06-25,25,"alm"
2014-06-26,16,"alm"
2014-06-27,14,"alm"
2014-06-28,8,"alm"
2014-06-29,1,"alm"
2014-06-30,16,"alm"
2014-07-01,10,"alm"
2014-07-02,7,"alm"
2014-07-03,8,"alm"
2014-07-04,9,"alm"
2014-07-05,7,"alm"
2014-07-06,4,"alm"
2014-07-07,10,"alm"
2014-07-08,18,"alm"
2014-07-09,14,"alm"
2014-07-10,19,"alm"
2014-07-11,14,"alm"
2014-07-12,11,"alm"
2014-07-13,6,"alm"
2014-07-14,10,"alm"
2014-07-15,6,"alm"
2014-07-16,7,"alm"
2014-07-17,10,"alm"
2014-07-18,7,"alm"
2014-07-19,6,"alm"
2014-07-20,8,"alm"
2014-07-21,20,"alm"
2014-07-22,11,"alm"
2014-07-23,18,"alm"
2014-07-24,7,"alm"
2014-07-25,11,"alm"
2014-07-26,5,"alm"
2014-07-27,2,"alm"
2014-07-28,5,"alm"
2014-07-29,12,"alm"
2014-07-30,16,"alm"
2014-07-31,5,"alm"
2014-08-01,19,"alm"
2014-08-02,4,"alm"
2014-08-03,6,"alm"
2014-08-04,23,"alm"
2014-08-05,32,"alm"
2014-08-06,13,"alm"
2014-08-07,19,"alm"
2014-08-08,13,"alm"
2014-08-09,9,"alm"
2014-08-10,21,"alm"
2014-08-11,11,"alm"
2014-08-12,10,"alm"
2014-08-13,10,"alm"
2014-08-14,14,"alm"
2014-08-15,6,"alm"
2014-08-16,5,"alm"
2014-08-17,12,"alm"
2014-08-18,14,"alm"
2014-08-19,10,"alm"
2014-08-20,15,"alm"
2014-08-21,8,"alm"
2014-08-22,8,"alm"
2014-08-23,5,"alm"
2014-08-24,9,"alm"
2014-08-25,14,"alm"
2014-08-26,7,"alm"
2014-08-27,9,"alm"
2014-08-28,13,"alm"
2014-08-29,10,"alm"
2014-08-30,10,"alm"
2014-08-31,18,"alm"
2014-09-01,14,"alm"
2014-09-02,8,"alm"
2014-09-03,14,"alm"
2014-09-04,3,"alm"
2014-09-05,6,"alm"
2014-09-06,11,"alm"
2014-09-07,15,"alm"
2014-09-08,13,"alm"
2014-09-09,12,"alm"
2014-09-10,13,"alm"
2014-09-11,7,"alm"
2014-09-12,13,"alm"
2014-09-13,8,"alm"
2014-09-14,15,"alm"
2014-09-15,16,"alm"
2014-09-16,10,"alm"
2014-09-17,13,"alm"
2014-09-18,8,"alm"
2014-09-19,7,"alm"
2014-09-20,6,"alm"
2014-09-21,8,"alm"
2014-09-22,6,"alm"
2014-09-23,1,"alm"
2014-09-24,17,"alm"
2014-09-25,13,"alm"
2014-09-26,8,"alm"
2014-09-27,7,"alm"
2014-09-28,10,"alm"
2014-09-29,24,"alm"
2014-09-30,27,"alm"
2014-10-01,16,"alm"
2014-10-02,16,"alm"
2014-10-03,19,"alm"
2014-10-04,8,"alm"
2014-10-05,12,"alm"
2014-10-06,12,"alm"
2014-10-07,18,"alm"
2014-10-08,12,"alm"
2014-10-09,19,"alm"
2014-10-10,14,"alm"
2014-10-11,7,"alm"
2014-10-12,13,"alm"
2014-10-13,14,"alm"
2014-10-14,15,"alm"
2014-10-15,15,"alm"
2014-10-16,38,"alm"
2014-10-17,24,"alm"
2014-10-18,20,"alm"
2014-10-19,11,"alm"
2014-10-20,21,"alm"
2014-10-21,22,"alm"
2014-10-22,34,"alm"
2014-10-23,17,"alm"
2014-10-24,20,"alm"
2014-10-25,15,"alm"
2014-10-26,12,"alm"
2014-10-27,18,"alm"
2014-10-28,14,"alm"
2014-10-29,20,"alm"
2014-10-30,30,"alm"
2014-10-31,30,"alm"
2014-11-01,26,"alm"
2014-11-02,18,"alm"
2014-11-03,23,"alm"
2014-11-04,18,"alm"
2014-11-05,30,"alm"
2014-11-06,24,"alm"
2014-11-07,15,"alm"
2014-11-08,12,"alm"
2014-11-09,20,"alm"
2014-11-10,23,"alm"
2014-11-11,13,"alm"
2014-11-12,30,"alm"
2014-11-13,26,"alm"
2014-11-14,14,"alm"
2014-11-15,13,"alm"
2014-11-16,28,"alm"
2014-11-17,0,"alm"
2014-11-18,31,"alm"
2014-11-19,17,"alm"
2014-11-20,11,"alm"
2014-11-21,9,"alm"
2014-11-22,9,"alm"
2014-11-23,14,"alm"
2014-11-24,14,"alm"
2014-11-25,14,"alm"
2014-11-26,15,"alm"
2014-11-27,15,"alm"
2014-11-28,15,"alm"
2014-11-29,5,"alm"
2014-11-30,10,"alm"
2014-12-01,22,"alm"
2014-12-02,28,"alm"
2014-12-03,19,"alm"
2014-12-04,13,"alm"
2014-12-05,10,"alm"
2014-12-06,8,"alm"
2014-12-07,12,"alm"
2014-12-08,13,"alm"
2014-12-09,11,"alm"
2014-12-10,12,"alm"
2014-12-11,8,"alm"
2014-12-12,12,"alm"
2014-12-13,7,"alm"
2014-12-14,8,"alm"
2014-12-15,7,"alm"
2014-12-16,12,"alm"
2014-12-17,7,"alm"
2014-12-18,12,"alm"
2014-12-19,13,"alm"
2014-12-20,12,"alm"
2014-12-21,10,"alm"
2014-12-22,7,"alm"
2014-12-23,4,"alm"
2014-12-24,12,"alm"
2014-12-25,10,"alm"
2014-12-26,9,"alm"
2014-12-27,13,"alm"
2014-12-28,12,"alm"
2014-12-29,10,"alm"
2014-12-30,8,"alm"
2014-12-31,11,"alm"
2015-01-01,3,"alm"
2015-01-02,10,"alm"
2015-01-03,4,"alm"
2015-01-04,16,"alm"
2015-01-05,12,"alm"
2015-01-06,20,"alm"
2015-01-07,13,"alm"
2015-01-08,16,"alm"
2015-01-09,10,"alm"
2015-01-10,6,"alm"
2015-01-11,10,"alm"
2015-01-12,11,"alm"
2015-01-13,15,"alm"
2015-01-14,25,"alm"
2015-01-15,8,"alm"
2015-01-16,67,"alm"
2015-01-17,14,"alm"
2015-01-18,20,"alm"
2015-01-19,22,"alm"
2015-01-20,13,"alm"
2015-01-21,19,"alm"
2015-01-22,8,"alm"
2015-01-23,9,"alm"
2015-01-24,7,"alm"
2015-01-25,12,"alm"
2015-01-26,18,"alm"
2015-01-27,25,"alm"
2015-01-28,19,"alm"
2015-01-29,17,"alm"
2015-01-30,17,"alm"
2015-01-31,8,"alm"
2015-02-01,14,"alm"
2015-02-02,19,"alm"
2015-02-03,15,"alm"
2015-02-04,17,"alm"
2015-02-05,17,"alm"
2015-02-06,11,"alm"
2015-02-07,6,"alm"
2015-02-08,10,"alm"
2015-02-09,12,"alm"
2015-02-10,8,"alm"
2015-02-11,16,"alm"
2015-02-12,17,"alm"
2015-02-13,3,"alm"
2015-02-14,8,"alm"
2015-02-15,3,"alm"
2015-02-16,7,"alm"
2015-02-17,18,"alm"
2015-02-18,15,"alm"
2015-02-19,20,"alm"
2015-02-20,4,"alm"
2015-02-21,7,"alm"
2015-02-22,10,"alm"
2015-02-23,16,"alm"
2015-02-24,24,"alm"
2015-02-25,29,"alm"
2015-02-26,36,"alm"
2015-02-27,17,"alm"
2015-02-28,13,"alm"
2015-03-01,16,"alm"
2015-03-02,15,"alm"
2015-03-03,22,"alm"
2015-03-04,9,"alm"
2015-03-05,6,"alm"
2015-03-06,10,"alm"
2015-03-07,5,"alm"
2015-03-08,9,"alm"
2015-03-09,27,"alm"
2015-03-10,32,"alm"
2015-03-11,15,"alm"
2015-03-12,27,"alm"
2015-03-13,21,"alm"
2015-03-14,39,"alm"
2015-03-15,22,"alm"
2015-03-16,31,"alm"
2015-03-17,28,"alm"
2015-03-18,35,"alm"
2015-03-19,19,"alm"
2015-03-20,15,"alm"
2015-03-21,25,"alm"
2015-03-22,24,"alm"
2015-03-23,17,"alm"
2015-03-24,16,"alm"
2015-03-25,28,"alm"
2015-03-26,14,"alm"
2015-03-27,18,"alm"
2015-03-28,13,"alm"
2015-03-29,19,"alm"
2015-03-30,22,"alm"
2015-03-31,33,"alm"
2015-04-01,53,"alm"
2015-04-02,21,"alm"
2015-04-03,11,"alm"
2015-04-04,18,"alm"
2015-04-05,18,"alm"
2015-04-06,18,"alm"
2015-04-07,24,"alm"
2015-04-08,24,"alm"
2015-04-09,30,"alm"
2015-04-10,20,"alm"
2015-04-11,28,"alm"
2015-04-12,17,"alm"
2015-04-13,16,"alm"
2015-04-14,14,"alm"
2015-04-15,25,"alm"
2015-04-16,16,"alm"
2015-04-17,12,"alm"
2015-04-18,29,"alm"
2015-04-19,19,"alm"
2015-04-20,38,"alm"
2015-04-21,42,"alm"
2015-04-22,21,"alm"
2015-04-23,18,"alm"
2015-04-24,36,"alm"
2015-04-25,13,"alm"
2015-04-26,13,"alm"
2015-04-27,19,"alm"
2015-04-28,15,"alm"
2015-04-29,11,"alm"
2015-04-30,22,"alm"
2015-05-01,14,"alm"
2015-05-02,12,"alm"
2015-05-03,16,"alm"
2015-05-04,16,"alm"
2015-05-05,18,"alm"
2015-05-06,6,"alm"
2015-05-07,16,"alm"
2015-05-08,19,"alm"
2015-05-09,11,"alm"
2015-05-10,15,"alm"
2015-05-11,22,"alm"
2015-05-12,19,"alm"
2015-05-13,13,"alm"
2015-05-14,16,"alm"
2015-05-15,26,"alm"
2015-05-16,11,"alm"
2015-05-17,15,"alm"
2015-05-18,19,"alm"
2015-05-19,19,"alm"
2015-05-20,16,"alm"
2015-05-21,13,"alm"
2015-05-22,7,"alm"
2015-05-23,19,"alm"
2015-05-24,15,"alm"
2015-05-25,18,"alm"
2015-05-26,17,"alm"
2015-05-27,6,"alm"
2015-05-28,13,"alm"
2015-05-29,9,"alm"
2015-05-30,11,"alm"
2015-05-31,11,"alm"
2015-06-01,13,"alm"
2015-06-02,5,"alm"
2015-06-03,16,"alm"
2015-06-04,19,"alm"
2015-06-05,7,"alm"
2015-06-06,17,"alm"
2015-06-07,18,"alm"
2015-06-08,22,"alm"
2015-06-09,11,"alm"
2015-06-10,12,"alm"
2015-06-11,16,"alm"
2015-06-12,21,"alm"
2015-06-13,20,"alm"
2015-06-14,11,"alm"
2015-06-15,19,"alm"
2015-06-16,16,"alm"
2015-06-17,14,"alm"
2015-06-18,19,"alm"
2015-06-19,26,"alm"
2015-06-20,8,"alm"
2015-06-21,14,"alm"
2015-06-22,12,"alm"
2015-06-23,20,"alm"
2015-06-24,10,"alm"
2015-06-25,12,"alm"
2015-06-26,8,"alm"
2015-06-27,11,"alm"
2015-06-28,12,"alm"
2015-06-29,24,"alm"
2015-06-30,10,"alm"
2015-07-01,17,"alm"
2015-07-02,14,"alm"
2015-07-03,12,"alm"
2015-07-04,8,"alm"
2015-07-05,13,"alm"
2015-07-06,15,"alm"
2015-07-07,23,"alm"
2015-07-08,17,"alm"
2015-07-09,15,"alm"
2015-07-10,15,"alm"
2015-07-11,8,"alm"
2015-07-12,4,"alm"
2015-07-13,6,"alm"
2015-07-14,4,"alm"
2015-07-15,7,"alm"
2015-07-16,7,"alm"
2015-07-17,13,"alm"
2015-07-18,12,"alm"
2015-07-19,16,"alm"
2015-07-20,15,"alm"
2015-07-21,7,"alm"
2015-07-22,11,"alm"
2015-07-23,3,"alm"
2015-07-24,11,"alm"
2015-07-25,12,"alm"
2015-07-26,10,"alm"
2015-07-27,11,"alm"
2015-07-28,15,"alm"
2015-07-29,7,"alm"
2015-07-30,15,"alm"
2015-07-31,7,"alm"
2015-08-01,12,"alm"
2015-08-02,4,"alm"
2015-08-03,6,"alm"
2015-08-04,49,"alm"
2015-08-05,18,"alm"
2015-08-06,20,"alm"
2015-08-07,11,"alm"
2015-08-08,11,"alm"
2015-08-09,8,"alm"
2015-08-10,10,"alm"
2015-08-11,11,"alm"
2015-08-12,19,"alm"
2015-08-13,5,"alm"
2015-08-14,6,"alm"
2015-08-15,12,"alm"
2015-08-16,16,"alm"
2015-08-17,13,"alm"
2015-08-18,19,"alm"
2015-08-19,13,"alm"
2015-08-20,7,"alm"
2015-08-21,12,"alm"
2015-08-22,21,"alm"
2015-08-23,0,"alm"
2015-08-24,13,"alm"
2015-08-25,17,"alm"
2015-08-26,13,"alm"
2015-08-27,12,"alm"
2015-08-28,8,"alm"
2015-08-29,8,"alm"
2015-08-30,10,"alm"
2015-08-31,12,"alm"
2015-09-01,11,"alm"
2015-09-02,15,"alm"
2015-09-03,17,"alm"
2015-09-04,13,"alm"
2015-09-05,14,"alm"
2015-09-06,17,"alm"
2015-09-07,0,"alm"
2015-09-08,15,"alm"
2015-09-09,0,"alm"
2015-09-10,23,"alm"
2015-09-11,12,"alm"
2015-09-12,13,"alm"
2015-09-13,12,"alm"
2015-09-14,21,"alm"
2015-09-15,17,"alm"
2015-09-16,11,"alm"
2015-09-17,14,"alm"
2015-09-18,15,"alm"
2015-09-19,16,"alm"
2015-09-20,10,"alm"
2015-09-21,21,"alm"
2015-09-22,13,"alm"
2015-09-23,26,"alm"
2015-09-24,9,"alm"
2015-09-25,12,"alm"
2015-09-26,12,"alm"
2015-09-27,6,"alm"
2015-09-28,16,"alm"
2015-09-29,19,"alm"
2015-09-30,13,"alm"
2015-10-01,14,"alm"
2015-10-02,17,"alm"
2015-10-03,12,"alm"
2015-10-04,11,"alm"
2015-10-05,33,"alm"
2015-10-06,29,"alm"
2015-10-07,19,"alm"
2015-10-08,21,"alm"
2015-10-09,12,"alm"
2015-10-10,9,"alm"
2015-10-11,9,"alm"
2015-10-12,15,"alm"
2015-10-13,26,"alm"
2015-10-14,16,"alm"
2015-10-15,26,"alm"
2015-10-16,13,"alm"
2015-10-17,12,"alm"
2015-10-18,0,"alm"
2015-10-19,26,"alm"
2015-10-20,10,"alm"
2015-10-21,14,"alm"
2015-10-22,15,"alm"
2015-10-23,21,"alm"
2015-10-24,7,"alm"
2015-10-25,14,"alm"
2015-10-26,0,"alm"
2015-10-27,10,"alm"
2015-10-28,13,"alm"
2015-10-29,9,"alm"
2015-10-30,15,"alm"
2015-10-31,0,"alm"
2015-11-01,0,"alm"
2015-11-02,10,"alm"
2015-11-03,18,"alm"
2015-11-04,12,"alm"
2015-11-05,12,"alm"
2015-11-06,17,"alm"
2015-11-07,12,"alm"
2015-11-08,6,"alm"
2015-11-09,11,"alm"
2015-11-10,22,"alm"
2015-11-11,24,"alm"
2015-11-12,27,"alm"
2015-11-13,9,"alm"
2015-11-14,10,"alm"
2015-11-15,0,"alm"
2015-11-16,14,"alm"
2015-11-17,17,"alm"
2015-11-18,21,"alm"
2015-11-19,16,"alm"
2015-11-20,8,"alm"
2015-11-21,18,"alm"
2015-11-22,22,"alm"
2015-11-23,9,"alm"
2015-11-24,11,"alm"
2015-11-25,13,"alm"
2015-11-26,16,"alm"
2015-11-27,11,"alm"
2015-11-28,8,"alm"
2015-11-29,13,"alm"
2015-11-30,15,"alm"
2015-12-01,11,"alm"
2015-12-02,16,"alm"
2015-12-03,19,"alm"
2015-12-04,10,"alm"
2015-12-05,12,"alm"
2015-12-06,10,"alm"
2015-12-07,11,"alm"
2015-12-08,15,"alm"
2015-12-09,6,"alm"
2015-12-10,11,"alm"
2015-12-11,17,"alm"
2015-12-12,19,"alm"
2015-12-13,12,"alm"
2015-12-14,6,"alm"
2015-12-15,20,"alm"
2015-12-16,22,"alm"
2015-12-17,13,"alm"
2015-12-18,12,"alm"
2015-12-19,6,"alm"
2015-12-20,8,"alm"
2015-12-21,9,"alm"
2015-12-22,8,"alm"
2015-12-23,10,"alm"
2015-12-24,10,"alm"
2015-12-25,5,"alm"
2015-12-26,8,"alm"
2015-12-27,10,"alm"
2015-12-28,15,"alm"
2015-12-29,8,"alm"
2015-12-30,9,"alm"
2015-12-31,10,"alm"
2016-01-01,9,"alm"
2016-01-02,10,"alm"
2016-01-03,3,"alm"
2016-01-04,12,"alm"
2016-01-05,13,"alm"
2016-01-06,18,"alm"
2016-01-07,13,"alm"
2016-01-08,13,"alm"
2016-01-09,5,"alm"
2016-01-10,5,"alm"
2016-01-11,13,"alm"
2016-01-12,8,"alm"
2016-01-13,18,"alm"
2016-01-14,27,"alm"
2016-01-15,16,"alm"
2016-01-16,11,"alm"
2016-01-17,5,"alm"
2016-01-18,10,"alm"
2016-01-19,23,"alm"
2016-01-20,17,"alm"
2016-01-21,18,"alm"
2016-01-22,17,"alm"
2016-01-23,11,"alm"
2016-01-24,11,"alm"
2016-01-25,22,"alm"
2016-01-26,17,"alm"
2016-01-27,30,"alm"
2016-01-28,16,"alm"
2016-01-29,10,"alm"
2016-01-30,12,"alm"
2016-01-31,5,"alm"
2016-02-01,13,"alm"
2016-02-02,10,"alm"
2016-02-03,0,"alm"
2016-02-04,13,"alm"
2016-02-05,15,"alm"
2016-02-06,11,"alm"
2016-02-07,4,"alm"
2016-02-08,15,"alm"
2016-02-09,11,"alm"
2016-02-10,11,"alm"
2016-02-11,10,"alm"
2016-02-12,13,"alm"
2016-02-13,8,"alm"
2016-02-14,6,"alm"
2016-02-15,16,"alm"
2016-02-16,18,"alm"
2016-02-17,31,"alm"
2016-02-18,47,"alm"
2016-02-19,15,"alm"
2016-02-20,5,"alm"
2016-02-21,10,"alm"
2016-02-22,16,"alm"
2016-02-23,11,"alm"
2016-02-24,11,"alm"
2016-02-25,26,"alm"
2016-02-26,10,"alm"
2016-02-27,10,"alm"
2016-02-28,10,"alm"
2016-02-29,11,"alm"
2016-03-01,18,"alm"
2016-03-02,34,"alm"
2016-03-03,20,"alm"
2016-03-04,22,"alm"
2016-03-05,5,"alm"
2016-03-06,3,"alm"
2016-03-07,2,"alm"
2016-03-08,8,"alm"
2016-03-09,6,"alm"
2016-03-10,8,"alm"
2016-03-11,7,"alm"
2016-03-12,6,"alm"
2016-03-13,1,"alm"
2016-03-14,7,"alm"
2016-03-15,5,"alm"
2016-03-16,6,"alm"
2016-03-17,5,"alm"
2016-03-18,17,"alm"
2016-03-19,13,"alm"
2016-03-20,7,"alm"
2016-03-21,7,"alm"
2016-03-22,21,"alm"
2016-03-23,6,"alm"
2016-03-24,10,"alm"
2016-03-25,7,"alm"
2016-03-26,8,"alm"
2016-03-27,10,"alm"
2016-03-28,5,"alm"
2016-03-29,12,"alm"
2016-03-30,12,"alm"
2016-03-31,19,"alm"
2016-04-01,12,"alm"
2016-04-02,15,"alm"
2016-04-03,8,"alm"
2016-04-04,5,"alm"
2016-04-05,16,"alm"
2016-04-06,16,"alm"
2016-04-07,13,"alm"
2016-04-08,11,"alm"
2016-04-09,5,"alm"
2016-04-10,10,"alm"
2016-04-11,13,"alm"
2016-04-12,15,"alm"
2016-04-13,9,"alm"
2016-04-14,20,"alm"
2016-04-15,8,"alm"
2016-04-16,2,"alm"
2016-04-17,5,"alm"
2016-04-18,9,"alm"
2016-04-19,10,"alm"
2016-04-20,13,"alm"
2016-04-21,13,"alm"
2016-04-22,9,"alm"
2016-04-23,12,"alm"
2016-04-24,9,"alm"
2016-04-25,5,"alm"
2016-04-26,13,"alm"
2016-04-27,20,"alm"
2016-04-28,6,"alm"
2016-04-29,4,"alm"
2016-04-30,8,"alm"
2016-05-01,2,"alm"
2016-05-02,11,"alm"
2016-05-03,8,"alm"
2016-05-04,15,"alm"
2016-05-05,11,"alm"
2016-05-06,8,"alm"
2016-05-07,7,"alm"
2016-05-08,1,"alm"
2016-05-09,18,"alm"
2016-05-10,10,"alm"
2016-05-11,9,"alm"
2016-05-12,14,"alm"
2016-05-13,9,"alm"
2016-05-14,10,"alm"
2016-05-15,6,"alm"
2016-05-16,8,"alm"
2016-05-17,7,"alm"
2016-05-18,10,"alm"
2016-05-19,10,"alm"
2014-02-15,0,"AntWeb"
2014-02-16,10,"AntWeb"
2014-02-17,17,"AntWeb"
2014-02-18,9,"AntWeb"
2014-02-19,16,"AntWeb"
2014-02-20,12,"AntWeb"
2014-02-21,12,"AntWeb"
2014-02-22,5,"AntWeb"
2014-02-23,3,"AntWeb"
2014-02-24,12,"AntWeb"
2014-02-25,8,"AntWeb"
2014-02-26,29,"AntWeb"
2014-02-27,20,"AntWeb"
2014-02-28,6,"AntWeb"
2014-03-01,7,"AntWeb"
2014-03-02,7,"AntWeb"
2014-03-03,6,"AntWeb"
2014-03-04,15,"AntWeb"
2014-03-05,14,"AntWeb"
2014-03-06,13,"AntWeb"
2014-03-07,15,"AntWeb"
2014-03-08,7,"AntWeb"
2014-03-09,5,"AntWeb"
2014-03-10,13,"AntWeb"
2014-03-11,13,"AntWeb"
2014-03-12,12,"AntWeb"
2014-03-13,19,"AntWeb"
2014-03-14,7,"AntWeb"
2014-03-15,12,"AntWeb"
2014-03-16,8,"AntWeb"
2014-03-17,16,"AntWeb"
2014-03-18,12,"AntWeb"
2014-03-19,18,"AntWeb"
